Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,023000,2019,01,01,32.4,1,N
IDCJAC0010,023000,2019,01,02,33.6,1,N
IDCJAC0010,023000,2019,01,03,41.5,1,N
IDCJAC0010,023000,2019,01,04,26.8,1,N
IDCJAC0010,023000,2019,01,05,23.1,1,N
IDCJAC0010,023000,2019,01,06,27.4,1,N
IDCJAC0010,023000,2019,01,07,27.5,1,N
IDCJAC0010,023000,2019,01,08,,,
IDCJAC0010,023000,2019,01,09,25.9,1,N
IDCJAC0010,023000,2019,01,10,29.8,1,N
IDCJAC0010,023000,2019,01,11,38.2,1,N
IDCJAC0010,023000,2019,01,12,32.5,1,N
IDCJAC0010,023000,2019,01,13,34.9,1,N
IDCJAC0010,023000,2019,01,14,39.9,1,N
IDCJAC0010,023000,2019,01,15,41.9,1,N
IDCJAC0010,023000,2019,01,16,40.3,1,N
IDCJAC0010,023000,2019,01,17,39.6,1,N
IDCJAC0010,023000,2019,01,18,27.2,1,N
IDCJAC0010,023000,2019,01,19,29.0,1,N
IDCJAC0010,023000,2019,01,20,32.1,1,N
IDCJAC0010,023000,2019,01,21,34.9,1,N
IDCJAC0010,023000,2019,01,22,38.9,1,N
IDCJAC0010,023000,2019,01,23,40.9,1,N
IDCJAC0010,023000,2019,01,24,46.6,1,N
IDCJAC0010,023000,2019,01,25,28.5,1,N
IDCJAC0010,023000,2019,01,26,26.6,1,N
IDCJAC0010,023000,2019,01,27,25.3,1,N
IDCJAC0010,023000,2019,01,28,29.2,1,N
IDCJAC0010,023000,2019,01,29,32.5,1,N
IDCJAC0010,023000,2019,01,30,38.8,1,N
IDCJAC0010,023000,2019,01,31,25.6,1,N
IDCJAC0010,023000,2019,02,01,29.4,1,Y
IDCJAC0010,023000,2019,02,02,37.9,1,Y
IDCJAC0010,023000,2019,02,03,37.7,1,Y
IDCJAC0010,023000,2019,02,04,26.8,1,Y
IDCJAC0010,023000,2019,02,05,31.5,1,Y
IDCJAC0010,023000,2019,02,06,30.5,1,Y
IDCJAC0010,023000,2019,02,07,31.6,1,Y
IDCJAC0010,023000,2019,02,08,23.5,1,Y
IDCJAC0010,023000,2019,02,09,22.6,1,Y
IDCJAC0010,023000,2019,02,10,22.9,1,Y
IDCJAC0010,023000,2019,02,11,25.1,1,Y
IDCJAC0010,023000,2019,02,12,20.7,1,Y
IDCJAC0010,023000,2019,02,13,21.6,1,Y
IDCJAC0010,023000,2019,02,14,23.0,1,Y
IDCJAC0010,023000,2019,02,15,28.7,1,Y
IDCJAC0010,023000,2019,02,16,30.1,1,Y
IDCJAC0010,023000,2019,02,17,35.2,1,Y
IDCJAC0010,023000,2019,02,18,23.4,1,Y
IDCJAC0010,023000,2019,02,19,23.2,1,Y
IDCJAC0010,023000,2019,02,20,23.3,1,Y
IDCJAC0010,023000,2019,02,21,27.0,1,Y
IDCJAC0010,023000,2019,02,22,31.7,1,Y
